"Label (Grouping)","Seattle city, Washington!!Estimate","Seattle city, Washington!!Margin of Error"
"Total:","383,698","±5,364"
"    Less than $10,000","20,481","±2,895"
"    $10,000 to $14,999","6,057","±1,643"
"    $15,000 to $19,999","7,886","±1,817"
"    $20,000 to $24,999","7,646","±1,838"
"    $25,000 to $29,999","7,752","±1,859"
"    $30,000 to $34,999","6,998","±1,785"
"    $35,000 to $39,999","5,061","±1,338"
"    $40,000 to $44,999","10,380","±2,212"
"    $45,000 to $49,999","9,970","±2,189"
"    $50,000 to $59,999","14,775","±2,234"
"    $60,000 to $74,999","26,183","±3,279"
"    $75,000 to $99,999","41,375","±3,857"
"    $100,000 to $124,999","35,568","±2,974"
"    $125,000 to $149,999","24,243","±2,990"
"    $150,000 to $199,999","41,811","±3,917"
"    $200,000 or more","117,512","±5,741"