"Label (Grouping)","Census Tract 63; King County; Washington!!Estimate","Census Tract 63; King County; Washington!!Margin of Error"
"Total:","1,267","±413"
"    In married-couple families:","721","±190"
"        Under 3 years","42","±58"
"        3 and 4 years","47","±39"
"        5 years","0","±19"
"        6 to 11 years","309","±135"
"        12 to 17 years","323","±158"
"    In other families:","546","±391"
"        Male householder, no spouse present:","20","±32"
"            Under 3 years","0","±19"
"            3 and 4 years","0","±19"
"            5 years","0","±19"
"            6 to 11 years","0","±19"
"            12 to 17 years","20","±32"
"        Female householder, no spouse present:","526","±391"
"            Under 3 years","0","±19"
"            3 and 4 years","65","±102"
"            5 years","0","±19"
"            6 to 11 years","186","±143"
"            12 to 17 years","275","±329"